HomeTeam,AwayTeam,FTR,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25
Annan Athletic,Peterhead,A,1,2,11.0,13.0,8.0,7.0,6.0,7.0,3,1,0,0,3.4,3.75,2.0,1.57,2.29
Berwick,Clyde,H,3,1,9.0,18.0,3.0,8.0,5.0,9.0,1,1,0,0,3.0,3.4,2.3,1.73,2.03
Edinburgh City,Montrose,A,1,3,9.0,13.0,4.0,9.0,3.0,9.0,0,1,1,0,2.5,3.3,2.8,1.93,1.81
Elgin,Cowdenbeath,D,1,1,17.0,10.0,3.0,4.0,2.0,11.0,1,0,0,0,1.95,3.6,3.6,1.64,2.15
Stenhousemuir,Stirling,A,2,3,13.0,12.0,5.0,7.0,3.0,4.0,0,1,0,0,1.85,3.8,3.8,1.62,2.19
Clyde,Annan Athletic,H,2,1,11.0,13.0,5.0,4.0,2.0,5.0,2,3,0,0,2.0,3.5,3.6,1.57,2.28
Cowdenbeath,Edinburgh City,H,1,0,3.0,3.0,1.0,2.0,4.0,5.0,1,3,0,0,2.2,3.5,3.1,1.97,1.77
Montrose,Stenhousemuir,D,1,1,11.0,10.0,2.0,2.0,5.0,2.0,1,1,0,0,2.38,3.6,2.75,1.8,1.93
Peterhead,Elgin,H,3,0,20.0,6.0,9.0,1.0,7.0,2.0,1,3,1,0,1.44,4.2,7.5,1.6,2.22
Stirling,Berwick,H,4,0,17.0,20.0,8.0,1.0,6.0,7.0,0,0,0,0,1.75,3.75,4.5,1.65,2.13
Berwick,Annan Athletic,A,1,5,10.0,13.0,2.0,7.0,4.0,5.0,4,2,0,0,2.5,3.8,2.5,1.53,2.7
Elgin,Clyde,H,3,2,13.0,9.0,3.0,6.0,4.0,4.0,2,2,0,1,2.15,3.8,3.0,1.57,2.28
Montrose,Cowdenbeath,H,1,0,11.0,5.0,4.0,0.0,4.0,1.0,2,3,0,0,2.05,3.8,3.2,1.7,2.06
Stenhousemuir,Peterhead,H,3,1,8.0,13.0,4.0,7.0,1.0,4.0,1,1,0,0,3.2,3.8,2.05,1.59,2.25
Stirling,Edinburgh City,H,2,0,15.0,6.0,7.0,2.0,7.0,3.0,1,1,0,0,1.73,4.0,4.2,1.68,2.09
Annan Athletic,Montrose,A,0,1,6.0,9.0,4.0,4.0,4.0,7.0,2,1,0,0,2.4,3.4,2.8,1.62,2.19
Clyde,Stenhousemuir,D,1,1,11.0,8.0,3.0,5.0,6.0,1.0,2,0,0,0,2.1,3.5,3.3,1.67,2.1
Cowdenbeath,Berwick,A,0,1,9.0,11.0,6.0,7.0,8.0,3.0,2,3,0,0,1.95,3.6,3.6,1.68,2.09
Edinburgh City,Elgin,A,0,3,8.0,15.0,2.0,9.0,8.0,4.0,5,0,1,0,2.7,3.4,2.5,1.81,1.93
Peterhead,Stirling,A,2,4,14.0,15.0,6.0,6.0,7.0,2.0,3,1,1,0,1.73,3.8,4.5,1.63,2.17
Edinburgh City,Berwick,H,1,0,4.0,6.0,3.0,3.0,2.0,6.0,1,1,0,0,2.25,3.75,2.8,1.74,2.0
Elgin,Annan Athletic,A,0,1,12.0,17.0,3.0,4.0,5.0,6.0,1,1,0,0,2.1,3.6,3.2,1.49,2.47
Peterhead,Montrose,D,1,1,12.0,6.0,5.0,4.0,2.0,4.0,2,2,0,0,1.65,4.1,4.75,1.62,2.2
Stenhousemuir,Cowdenbeath,H,1,0,14.0,9.0,4.0,2.0,3.0,5.0,1,1,0,0,1.95,3.6,3.6,1.62,2.19
Stirling,Clyde,A,2,3,10.0,15.0,4.0,4.0,3.0,8.0,1,3,0,0,1.85,3.8,3.8,1.61,2.22
Annan Athletic,Stenhousemuir,D,1,1,9.0,12.0,3.0,5.0,6.0,2.0,1,1,0,0,2.63,3.5,2.5,1.59,2.24
Berwick,Elgin,H,3,2,18.0,10.0,6.0,5.0,7.0,3.0,2,1,0,0,2.8,3.5,2.38,1.61,2.2
Clyde,Edinburgh City,A,2,3,13.0,4.0,4.0,3.0,9.0,0.0,1,4,1,0,2.0,3.6,3.5,1.7,2.06
Cowdenbeath,Peterhead,A,0,4,3.0,12.0,3.0,9.0,6.0,6.0,1,0,0,0,3.6,3.75,1.91,1.68,2.09
Montrose,Stirling,A,1,3,12.0,16.0,4.0,10.0,6.0,1.0,2,1,0,0,2.38,3.5,2.8,1.64,2.15
Clyde,Cowdenbeath,D,1,1,19.0,12.0,11.0,6.0,15.0,7.0,2,2,1,0,1.85,3.8,3.8,1.71,2.04
Edinburgh City,Peterhead,A,0,3,6.0,15.0,4.0,8.0,3.0,2.0,3,1,0,0,5.0,4.0,1.62,1.66,2.11
Elgin,Montrose,H,3,0,15.0,14.0,7.0,3.0,2.0,5.0,0,2,0,0,2.4,3.5,2.75,1.61,2.21
Stenhousemuir,Berwick,H,3,0,12.0,8.0,5.0,3.0,6.0,1.0,2,2,0,0,1.62,4.0,5.0,1.57,2.26
Stirling,Annan Athletic,H,3,2,10.0,16.0,7.0,6.0,2.0,5.0,2,4,0,0,1.8,4.0,3.8,1.5,2.44
Annan Athletic,Cowdenbeath,H,1,0,18.0,5.0,6.0,1.0,4.0,3.0,3,1,0,0,1.8,3.6,3.8,1.65,2.13
Montrose,Clyde,H,3,2,8.0,16.0,5.0,4.0,6.0,5.0,1,2,0,0,2.55,3.4,2.45,1.67,2.1
Peterhead,Berwick,A,0,2,15.0,6.0,4.0,3.0,10.0,2.0,1,2,0,0,1.45,4.2,6.0,1.56,2.28
Stenhousemuir,Edinburgh City,H,3,0,14.0,10.0,8.0,2.0,7.0,4.0,0,0,0,0,1.45,4.33,5.75,1.61,2.19
Stirling,Elgin,D,2,2,10.0,12.0,5.0,5.0,3.0,7.0,2,4,0,0,1.85,3.75,3.5,1.56,2.29
Berwick,Montrose,A,0,1,5.0,5.0,3.0,4.0,1.0,2.0,0,2,0,0,2.79,3.5,2.37,1.61,2.2
Clyde,Peterhead,A,1,4,8.0,20.0,4.0,10.0,5.0,8.0,4,1,0,0,3.6,4.0,1.85,1.49,2.48
Cowdenbeath,Stirling,A,0,3,6.0,13.0,4.0,7.0,6.0,2.0,2,1,0,0,3.25,3.5,2.1,1.65,2.13
Edinburgh City,Annan Athletic,A,0,1,5.0,13.0,2.0,6.0,2.0,3.0,2,3,0,0,3.2,3.6,2.1,1.68,2.07
Elgin,Stenhousemuir,H,2,0,8.0,6.0,4.0,1.0,6.0,4.0,2,3,0,0,3.1,3.6,2.14,1.57,2.26
Berwick,Cowdenbeath,H,1,0,10.0,6.0,4.0,3.0,3.0,7.0,3,2,0,0,2.04,3.6,3.29,1.76,1.97
Clyde,Elgin,A,2,4,7.0,10.0,3.0,6.0,2.0,2.0,4,3,0,0,2.39,3.39,2.79,1.52,2.37
Montrose,Edinburgh City,H,1,0,8.0,11.0,3.0,2.0,7.0,4.0,0,1,0,0,1.72,3.79,4.5,1.81,1.91
Peterhead,Annan Athletic,H,1,0,8.0,10.0,3.0,4.0,8.0,4.0,1,1,0,0,1.66,4.2,4.5,1.52,2.39
Stirling,Stenhousemuir,A,1,2,7.0,21.0,3.0,7.0,3.0,6.0,1,1,0,0,2.1,3.6,3.2,1.56,2.28
Annan Athletic,Berwick,D,0,0,11.0,3.0,5.0,2.0,3.0,2.0,2,3,0,0,1.72,4.0,4.2,1.55,2.34
Cowdenbeath,Montrose,A,1,3,4.0,6.0,2.0,5.0,2.0,5.0,1,1,0,0,3.6,3.6,1.95,1.83,1.89
Edinburgh City,Stirling,A,1,2,11.0,7.0,4.0,3.0,3.0,4.0,0,2,0,0,5.5,4.0,1.57,1.69,2.08
Elgin,Peterhead,A,0,2,4.0,9.0,0.0,5.0,2.0,8.0,2,4,0,0,3.29,3.79,2.0,1.53,2.38
Stenhousemuir,Clyde,D,1,1,14.0,8.0,9.0,5.0,13.0,5.0,1,1,0,0,1.9,3.6,3.79,1.49,2.47
Berwick,Edinburgh City,D,1,1,6.0,8.0,4.0,4.0,2.0,3.0,2,1,0,0,2.04,3.5,3.39,1.84,1.88
Clyde,Stirling,D,1,1,11.0,5.0,6.0,1.0,7.0,7.0,1,3,0,0,2.62,3.5,2.5,1.5,2.46
Cowdenbeath,Elgin,A,1,3,6.0,16.0,4.0,8.0,2.0,6.0,5,0,2,0,2.87,3.5,2.29,1.67,2.09
Montrose,Annan Athletic,D,1,1,11.0,9.0,7.0,2.0,6.0,2.0,0,3,0,1,2.25,3.6,2.89,1.63,2.16
Peterhead,Stenhousemuir,A,2,3,19.0,8.0,4.0,3.0,7.0,3.0,3,2,0,0,1.8,3.79,4.0,1.68,2.08
Cowdenbeath,Annan Athletic,D,1,1,10.0,11.0,4.0,5.0,4.0,5.0,1,2,0,0,3.6,3.75,1.95,1.83,1.91
Annan Athletic,Clyde,D,0,0,14.0,7.0,5.0,4.0,5.0,3.0,2,0,0,0,1.9,3.75,3.6,1.48,2.49
Edinburgh City,Cowdenbeath,D,0,0,6.0,5.0,2.0,3.0,4.0,4.0,2,1,0,0,2.1,3.5,3.29,1.95,1.79
Elgin,Berwick,H,5,1,20.0,11.0,11.0,3.0,8.0,4.0,1,2,0,0,1.72,4.0,4.2,1.59,2.24
Stenhousemuir,Montrose,A,0,1,9.0,12.0,2.0,2.0,2.0,3.0,1,1,0,0,1.8,3.75,4.2,1.79,1.94
Annan Athletic,Elgin,H,2,0,12.0,9.0,5.0,5.0,6.0,4.0,2,6,0,0,2.7,3.79,2.29,1.57,2.26
Berwick,Stirling,H,1,0,6.0,8.0,1.0,3.0,6.0,6.0,2,1,0,0,3.25,3.6,2.1,1.58,2.24
Clyde,Montrose,D,0,0,9.0,1.0,2.0,0.0,5.0,4.0,0,1,0,0,2.6,3.75,2.39,1.65,2.14
Peterhead,Edinburgh City,H,3,0,16.0,8.0,6.0,4.0,2.0,6.0,0,3,0,1,1.33,5.0,9.0,1.58,2.25
Stirling,Peterhead,A,0,1,8.0,20.0,1.0,5.0,3.0,12.0,1,2,1,0,4.0,4.09,1.75,1.5,2.46
Elgin,Edinburgh City,D,1,1,13.0,8.0,3.0,2.0,7.0,3.0,2,1,0,0,1.61,4.0,5.0,1.61,2.2
Montrose,Berwick,H,3,0,9.0,4.0,6.0,1.0,13.0,2.0,3,2,0,0,1.72,3.6,4.75,1.86,1.88
Stenhousemuir,Annan Athletic,A,1,3,10.0,11.0,7.0,5.0,4.0,2.0,0,1,0,0,2.29,3.6,2.87,1.72,2.03
Annan Athletic,Stirling,D,1,1,12.0,9.0,3.0,4.0,5.0,3.0,1,2,0,0,2.0,3.5,3.6,1.5,2.45
Edinburgh City,Stenhousemuir,A,1,2,12.0,10.0,6.0,5.0,7.0,11.0,2,2,0,0,3.6,3.5,2.0,1.88,1.86
Montrose,Elgin,H,3,0,10.0,4.0,4.0,2.0,5.0,6.0,2,1,0,0,2.0,3.5,3.6,1.72,2.03
Cowdenbeath,Stenhousemuir,D,1,1,9.0,13.0,5.0,7.0,6.0,8.0,2,1,0,0,4.75,3.75,1.7,2.13,1.67
Annan Athletic,Edinburgh City,H,2,1,12.0,8.0,3.0,8.0,6.0,5.0,1,1,0,0,1.61,4.0,5.0,1.57,2.28
Clyde,Berwick,D,0,0,11.0,8.0,2.0,1.0,8.0,4.0,2,2,0,0,1.75,3.79,4.33,1.65,2.12
Peterhead,Cowdenbeath,H,3,2,9.0,9.0,6.0,3.0,3.0,1.0,3,4,0,1,1.36,5.25,7.0,1.58,2.25
Stenhousemuir,Elgin,H,4,1,16.0,5.0,7.0,1.0,11.0,2.0,1,1,0,0,2.0,3.5,3.6,1.57,2.27
Stirling,Montrose,A,0,1,11.0,10.0,5.0,4.0,6.0,7.0,2,0,0,0,2.7,3.39,2.5,1.75,1.98
Montrose,Peterhead,A,2,6,7.0,13.0,2.0,8.0,2.0,11.0,1,1,0,0,3.0,3.25,2.35,1.81,1.93
Clyde,Annan Athletic,D,0,0,7.0,7.0,1.0,2.0,8.0,7.0,4,3,1,1,2.7,3.39,2.5,1.76,1.98
Edinburgh City,Berwick,H,3,0,8.0,10.0,6.0,4.0,0.0,8.0,2,1,0,0,2.6,3.6,2.5,2.03,1.73
Montrose,Cowdenbeath,D,1,1,12.0,11.0,3.0,5.0,4.0,9.0,0,0,0,0,1.44,4.59,6.5,1.82,1.93
Peterhead,Elgin,H,7,0,20.0,6.0,11.0,2.0,5.0,2.0,0,4,0,0,1.44,4.5,6.5,1.5,2.46
Stenhousemuir,Stirling,H,2,1,13.0,11.0,6.0,7.0,6.0,7.0,1,3,0,0,2.04,3.6,3.39,1.62,2.19
Annan Athletic,Montrose,A,0,1,8.0,10.0,3.0,3.0,0.0,7.0,2,1,0,0,2.54,3.25,2.75,1.91,1.82
Cowdenbeath,Edinburgh City,A,0,2,7.0,5.0,1.0,2.0,4.0,2.0,0,0,0,0,2.37,3.39,2.87,2.11,1.67
Elgin,Clyde,H,2,1,8.0,10.0,4.0,2.0,6.0,5.0,1,1,0,0,2.14,3.5,3.2,1.61,2.2
Stenhousemuir,Peterhead,A,1,4,12.0,17.0,4.0,8.0,5.0,4.0,2,1,0,0,3.39,3.75,2.0,1.6,2.22
Stirling,Berwick,H,2,0,10.0,10.0,4.0,4.0,2.0,7.0,0,2,0,0,1.75,3.75,4.5,1.72,2.04
Berwick,Annan Athletic,A,0,2,7.0,7.0,3.0,5.0,6.0,6.0,1,1,0,0,3.0,3.6,2.2,1.73,2.02
Clyde,Stenhousemuir,A,0,3,10.0,13.0,3.0,5.0,8.0,9.0,2,1,0,0,2.79,3.39,2.39,1.69,2.06
Edinburgh City,Montrose,A,0,2,9.0,4.0,3.0,4.0,3.0,4.0,2,0,1,0,3.39,3.5,2.04,2.07,1.7
Elgin,Cowdenbeath,H,1,0,7.0,5.0,1.0,2.0,3.0,2.0,3,0,0,1,1.64,3.79,5.0,1.81,1.92
Peterhead,Stirling,H,4,3,11.0,6.0,7.0,5.0,4.0,5.0,2,2,0,0,1.39,4.5,8.0,1.5,2.43
Montrose,Clyde,A,1,3,8.0,12.0,5.0,6.0,11.0,4.0,3,0,0,0,1.9,3.6,3.75,1.9,1.84
Clyde,Peterhead,H,1,0,4.0,4.0,4.0,0.0,1.0,2.0,1,2,0,0,5.25,4.2,1.57,1.54,2.34
Cowdenbeath,Berwick,A,1,3,4.0,9.0,2.0,6.0,4.0,5.0,2,2,0,0,2.5,3.29,2.75,2.04,1.72
Edinburgh City,Annan Athletic,H,3,2,10.0,7.0,6.0,4.0,2.0,4.0,2,4,0,0,3.1,3.6,2.14,2.0,1.75
Elgin,Stenhousemuir,H,2,0,13.0,2.0,5.0,0.0,6.0,2.0,3,4,0,0,3.1,3.6,2.14,1.6,2.23
Montrose,Stirling,H,2,1,12.0,13.0,2.0,5.0,9.0,3.0,3,3,0,0,1.95,3.6,3.6,1.69,2.07
Berwick,Peterhead,A,2,3,7.0,8.0,5.0,6.0,3.0,4.0,1,0,0,0,7.5,4.75,1.39,1.54,2.36
Stirling,Cowdenbeath,H,1,0,9.0,9.0,4.0,3.0,6.0,5.0,0,1,0,0,1.61,4.0,5.0,1.71,2.04
Annan Athletic,Cowdenbeath,D,1,1,10.0,3.0,4.0,2.0,5.0,1.0,2,2,0,1,1.55,4.2,5.5,1.92,1.81
Clyde,Edinburgh City,H,3,2,12.0,8.0,4.0,5.0,4.0,13.0,4,1,0,0,1.8,3.75,4.2,1.99,1.76
Peterhead,Montrose,A,0,1,16.0,5.0,4.0,2.0,4.0,4.0,2,1,0,0,1.61,3.79,5.5,1.75,1.99
Stenhousemuir,Berwick,H,4,0,20.0,7.0,10.0,1.0,5.0,4.0,0,1,0,2,1.57,4.5,4.75,1.63,2.16
Stirling,Elgin,H,3,1,12.0,10.0,7.0,2.0,4.0,6.0,0,3,0,0,2.14,3.75,3.0,1.53,2.36
Berwick,Clyde,A,0,1,7.0,10.0,5.0,6.0,1.0,6.0,3,0,0,0,3.0,3.6,2.2,1.76,1.98
Cowdenbeath,Stirling,A,1,2,8.0,10.0,4.0,7.0,1.0,4.0,6,7,0,0,3.2,3.5,2.2,1.76,1.97
Edinburgh City,Peterhead,D,0,0,6.0,10.0,2.0,2.0,2.0,6.0,1,2,0,0,5.5,4.33,1.53,1.63,2.16
Elgin,Annan Athletic,H,2,1,11.0,3.0,6.0,2.0,2.0,3.0,1,1,0,0,2.25,3.5,3.0,1.74,2.0
Montrose,Stenhousemuir,H,1,0,14.0,15.0,6.0,4.0,8.0,7.0,2,2,0,0,2.14,3.29,3.39,1.77,1.97
Clyde,Cowdenbeath,H,2,0,11.0,4.0,5.0,0.0,5.0,0.0,2,3,0,0,1.66,3.79,5.0,1.87,1.86
Elgin,Montrose,D,2,2,11.0,12.0,5.0,3.0,2.0,4.0,1,3,0,0,2.54,3.5,2.6,1.83,1.9
Peterhead,Berwick,D,1,1,14.0,10.0,7.0,4.0,4.0,2.0,3,2,0,0,1.25,6.0,10.0,1.47,2.51
Stenhousemuir,Edinburgh City,H,1,0,13.0,10.0,4.0,4.0,8.0,6.0,0,4,0,0,1.5,4.33,6.0,1.77,1.97
Stirling,Annan Athletic,H,3,0,19.0,8.0,8.0,4.0,8.0,5.0,1,2,0,0,2.1,3.5,3.29,1.77,1.97
Annan Athletic,Peterhead,D,3,3,10.0,8.0,4.0,5.0,2.0,4.0,3,1,0,0,6.5,3.89,1.53,1.71,2.07
Annan Athletic,Stenhousemuir,H,2,0,11.0,16.0,4.0,5.0,3.0,4.0,1,3,0,0,2.7,3.39,2.5,1.84,1.89
Berwick,Montrose,D,2,2,9.0,6.0,5.0,2.0,2.0,2.0,2,1,0,0,4.09,3.75,1.8,1.91,1.84
Cowdenbeath,Peterhead,A,0,2,4.0,12.0,1.0,4.0,0.0,2.0,2,2,0,0,7.0,4.75,1.39,1.69,2.08
Edinburgh City,Elgin,H,4,0,14.0,7.0,10.0,1.0,8.0,7.0,2,0,0,0,2.7,3.39,2.5,1.77,1.97
Stirling,Clyde,H,2,1,10.0,11.0,5.0,4.0,5.0,1.0,4,2,0,0,2.04,3.6,3.39,1.64,2.15
Peterhead,Clyde,H,2,1,16.0,8.0,7.0,4.0,9.0,1.0,1,0,0,0,1.39,4.5,8.0,1.61,2.21
Annan Athletic,Edinburgh City,A,2,3,9.0,10.0,6.0,5.0,3.0,6.0,2,0,0,0,2.14,3.5,3.2,1.92,1.82
Elgin,Berwick,H,3,0,12.0,6.0,6.0,3.0,8.0,4.0,0,3,0,0,1.75,3.75,4.5,1.66,2.12
Stenhousemuir,Clyde,A,2,3,10.0,9.0,4.0,5.0,6.0,3.0,4,2,0,0,1.72,3.75,4.5,1.72,2.03
Stirling,Peterhead,A,0,1,6.0,11.0,0.0,4.0,7.0,6.0,2,1,0,0,3.5,3.6,2.0,1.69,2.07
Berwick,Stirling,A,0,1,12.0,7.0,4.0,4.0,8.0,5.0,1,2,0,0,3.5,3.6,2.04,1.76,1.99
Clyde,Elgin,H,1,0,16.0,12.0,5.0,5.0,8.0,5.0,1,1,0,0,1.95,3.7,3.5,1.57,2.3
Edinburgh City,Cowdenbeath,D,1,1,10.0,12.0,2.0,5.0,4.0,9.0,2,3,0,0,1.9,3.39,4.2,2.15,1.65
Montrose,Annan Athletic,H,2,1,14.0,8.0,2.0,2.0,5.0,4.0,2,2,0,0,2.0,3.5,3.6,1.87,1.87
Peterhead,Stenhousemuir,A,1,2,11.0,14.0,3.0,5.0,9.0,7.0,0,3,0,0,1.53,4.2,5.75,1.63,2.18
Annan Athletic,Clyde,D,1,1,12.0,11.0,4.0,3.0,4.0,4.0,3,2,0,0,2.39,3.6,2.75,1.78,1.95
Cowdenbeath,Elgin,H,3,1,11.0,7.0,6.0,5.0,5.0,7.0,0,0,0,0,3.29,3.6,2.04,1.71,2.03
Edinburgh City,Stirling,D,2,2,6.0,8.0,5.0,4.0,6.0,5.0,0,1,0,0,3.39,3.6,2.04,1.82,1.91
Montrose,Peterhead,H,3,2,6.0,16.0,3.0,5.0,3.0,5.0,1,1,0,0,4.0,3.5,1.9,1.79,1.93
Edinburgh City,Clyde,A,0,3,11.0,10.0,4.0,6.0,2.0,4.0,2,1,0,1,2.87,3.29,2.39,2.13,1.65
Elgin,Stirling,A,0,2,13.0,16.0,1.0,3.0,6.0,7.0,2,1,0,0,2.25,3.79,2.79,1.64,2.15
Stenhousemuir,Cowdenbeath,A,1,2,12.0,9.0,5.0,5.0,4.0,3.0,2,4,0,0,1.53,4.0,6.0,1.76,1.99
Berwick,Edinburgh City,D,1,1,10.0,6.0,3.0,1.0,3.0,8.0,3,1,0,0,2.7,3.39,2.5,1.93,1.81
Clyde,Montrose,H,3,0,15.0,5.0,9.0,1.0,3.0,2.0,1,3,0,0,2.45,3.39,2.75,1.94,1.8
Peterhead,Annan Athletic,H,1,0,15.0,5.0,7.0,3.0,20.0,1.0,1,1,0,1,1.36,4.75,8.0,1.61,2.21
Stenhousemuir,Elgin,A,0,2,8.0,11.0,1.0,3.0,10.0,4.0,1,2,1,0,1.75,3.89,4.2,1.61,2.21
Stirling,Cowdenbeath,D,2,2,9.0,10.0,4.0,5.0,1.0,6.0,1,0,0,0,1.75,4.0,4.2,1.78,1.95
Berwick,Elgin,D,2,2,13.0,8.0,5.0,5.0,2.0,9.0,2,2,0,0,2.89,3.5,2.29,1.71,2.06
Cowdenbeath,Clyde,A,0,3,8.0,9.0,4.0,5.0,6.0,0.0,2,1,0,0,3.6,3.5,2.0,1.97,1.78
Stirling,Edinburgh City,D,2,2,11.0,8.0,2.0,4.0,7.0,5.0,0,1,0,0,2.0,3.39,3.75,1.94,1.8
Annan Athletic,Berwick,D,0,0,9.0,15.0,3.0,6.0,3.0,9.0,2,1,0,0,1.95,3.5,3.75,1.85,1.88
Cowdenbeath,Stenhousemuir,D,1,1,8.0,10.0,3.0,4.0,4.0,7.0,3,1,0,0,4.09,3.6,1.85,1.88,1.85
Elgin,Stirling,H,3,0,13.0,12.0,7.0,4.0,4.0,2.0,1,2,0,0,2.5,3.29,2.79,1.66,2.12
Montrose,Edinburgh City,H,3,0,13.0,5.0,6.0,1.0,6.0,2.0,1,4,0,0,1.8,3.6,4.33,1.9,1.84
Peterhead,Clyde,H,3,0,13.0,8.0,7.0,3.0,8.0,6.0,1,3,0,0,1.44,4.5,5.5,1.57,2.27
Annan Athletic,Elgin,H,4,1,15.0,13.0,12.0,5.0,4.0,4.0,4,1,0,0,2.5,3.39,2.7,1.67,2.1
Berwick,Peterhead,A,1,3,4.0,13.0,1.0,8.0,4.0,4.0,2,0,0,0,6.0,4.33,1.5,1.57,2.28
Cowdenbeath,Clyde,H,1,0,8.0,11.0,4.0,5.0,1.0,7.0,2,5,0,0,4.33,3.5,1.83,1.88,1.84
Edinburgh City,Stenhousemuir,A,1,4,8.0,9.0,3.0,4.0,2.0,2.0,0,2,0,0,3.89,3.5,1.9,1.83,1.9
Stirling,Montrose,A,0,5,5.0,10.0,1.0,7.0,3.0,4.0,4,3,1,0,2.89,3.6,2.25,1.77,1.97
